--------------------------------------------------------------------
TestCaseNum: 2aa
Popln_Size: 20
Max_Generations: 500
Mutation_percent: 5
Num_Games: 10
Max_Moves: 200
N_percent: 30
Selection: TS
Crossover: Cross1
--------------------------------------------------------------------

Gen no.	AvgFit	BestCandidate	BestFitness
259	13.809999999999999	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
260	13.925	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
261	13.945000000000002	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
262	13.989999999999998	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
263	13.739999999999998	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
264	14.139999999999995	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
265	13.854999999999999	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
266	13.814999999999998	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
267	13.905000000000001	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
268	13.884999999999996	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
269	13.65	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
270	13.694999999999997	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
271	13.674999999999997	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
272	13.869999999999996	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
273	13.724999999999998	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
274	13.629999999999999	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
275	13.934999999999997	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
276	14.094999999999999	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
277	13.859999999999996	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
278	13.77	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
279	13.834999999999999	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
280	13.764999999999997	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
281	14.254999999999999	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
282	13.830000000000002	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
283	13.645	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
284	13.934999999999997	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
285	14.12	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
286	13.9	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
287	13.809999999999997	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
288	13.844999999999999	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
289	13.704999999999998	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
290	14.109999999999996	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
291	13.639999999999997	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
292	13.985	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
293	14.039999999999997	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
294	14.014999999999997	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
